game no.,winner name,KO counts,Damage percentages
1480,raki,raki:8 postmabone:8 Thomato:5 sivad:6 curt:7,raki:723 postmabone:1143 Thomato:0 sivad:531 curt:890
1481,rupa,raki:11 BEEF:10 Thomato:6 LONG:8 sivad:7 curt:3,raki:654 BEEF:858 Thomato:745 LONG:820 sivad:1079 curt:452
1482,Thomato,curt:1 LONG:8 sivad:13 BEEF:9 Thomato:12 raki:9,curt:1837 LONG:776 sivad:778 BEEF:1939 Thomato:1099 raki:323
1483,curt,BEEF:8 sivad:3 raki:1 rupa:4 postmabone:2,BEEF:679 sivad:594 raki:1312 rupa:979 postmabone:708
1484,raki,Thomato:9 sivad:12 postmabone:5 raki:4 curt:11,Thomato:0 sivad:923 postmabone:899 raki:563 curt:558
1485,BEEF,curt:8 raki:8 rupa:8 Thomato:18 BEEF:6 postmabone:0 sivad:7,curt:1602 raki:637 rupa:495 Thomato:2286 BEEF:7 postmabone:323 sivad:873
1486,curt,LONG:1 sivad:7 BEEF:9 rupa:9,LONG:0 sivad:276 BEEF:221 rupa:275
1487,LONG,rupa:3 LONG:0 Thomato:11 curt:11 raki:10,rupa:287 LONG:981 Thomato:0 curt:481 raki:360
1488,raki,LONG:7 raki:0 postmabone:2 rupa:2,LONG:485 raki:77 postmabone:524 rupa:365
1489,curt,LONG:7 rupa:7 postmabone:11 curt:10 BEEF:12,LONG:1293 rupa:1577 postmabone:835 curt:574 BEEF:855
1490,sivad,LONG:7 postmabone:4 BEEF:5 curt:12 rupa:2,LONG:977 postmabone:1130 BEEF:696 curt:59 rupa:305
1491,BEEF,curt:8 rupa:15 Thomato:2 postmabone:1 BEEF:5 sivad:12,curt:177 rupa:1000 Thomato:1241 postmabone:839 BEEF:605 sivad:787
1492,BEEF,BEEF:6 postmabone:12 sivad:10 LONG:8 rupa:3 raki:7 curt:9,BEEF:1353 postmabone:1205 sivad:224 LONG:291 rupa:950 raki:0 curt:1072
1493,LONG,postmabone:7 raki:6 LONG:10 sivad:0 Thomato:3 rupa:6,postmabone:576 raki:357 LONG:875 sivad:422 Thomato:622 rupa:311
1494,BEEF,rupa:7 raki:18 LONG:9 postmabone:7 curt:2 sivad:12 Thomato:10,rupa:716 raki:1689 LONG:119 postmabone:968 curt:795 sivad:991 Thomato:570
1495,LONG,raki:0 rupa:0 sivad:0 Thomato:3,raki:612 rupa:660 sivad:430 Thomato:670
1496,BEEF,postmabone:2 raki:5 curt:9 LONG:4 BEEF:4,postmabone:713 raki:652 curt:782 LONG:414 BEEF:496
1497,curt,Thomato:3 rupa:0,Thomato:248 rupa:262
1498,BEEF,LONG:3 sivad:1,LONG:219 sivad:187
1499,postmabone,sivad:6 postmabone:17 curt:2 BEEF:15 rupa:19 raki:1 LONG:4 Thomato:17,sivad:1372 postmabone:2501 curt:816 BEEF:0 rupa:2477 raki:808 LONG:491 Thomato:250
1500,rupa,raki:5 LONG:4 BEEF:0 Thomato:12 curt:4,raki:724 LONG:448 BEEF:794 Thomato:36 curt:816
1501,rupa,raki:4 LONG:0 Thomato:1,raki:288 LONG:478 Thomato:751
1502,Thomato,sivad:4 rupa:6 LONG:7 postmabone:10 BEEF:8,sivad:742 rupa:285 LONG:288 postmabone:217 BEEF:804
1503,LONG,rupa:1 Thomato:7 curt:6 sivad:3,rupa:180 Thomato:321 curt:702 sivad:308
1504,BEEF,Thomato:1 curt:2,Thomato:115 curt:80
1505,sivad,Thomato:10 BEEF:0 LONG:1 sivad:11 postmabone:0 curt:10,Thomato:1005 BEEF:1182 LONG:315 sivad:1324 postmabone:1188 curt:2271
1506,Thomato,BEEF:3 postmabone:2 LONG:2,BEEF:52 postmabone:438 LONG:429
1507,curt,curt:6 rupa:14 BEEF:3 LONG:5 sivad:3 raki:4,curt:672 rupa:7 BEEF:550 LONG:465 sivad:0 raki:876
1508,LONG,postmabone:19 BEEF:11 rupa:15 curt:15 sivad:0 LONG:0 raki:20 Thomato:9,postmabone:0 BEEF:2483 rupa:967 curt:1339 sivad:2155 LONG:1234 raki:1356 Thomato:1483
1509,postmabone,postmabone:9 sivad:7 LONG:7 Thomato:12 rupa:14 curt:0 BEEF:0,postmabone:638 sivad:1355 LONG:0 Thomato:425 rupa:1293 curt:465 BEEF:728
1510,rupa,Thomato:5 raki:15 postmabone:15 BEEF:12 LONG:6 sivad:9,Thomato:690 raki:940 postmabone:662 BEEF:527 LONG:575 sivad:735
1511,sivad,postmabone:3 Thomato:8 rupa:3 BEEF:3,postmabone:114 Thomato:235 rupa:106 BEEF:606
1512,BEEF,curt:3 LONG:1,curt:160 LONG:262
1513,BEEF,rupa:9 Thomato:0 LONG:1 curt:9 BEEF:13 sivad:6,rupa:141 Thomato:310 LONG:933 curt:735 BEEF:958 sivad:738
1514,rupa,raki:2 BEEF:2,raki:113 BEEF:131
1515,LONG,curt:1 sivad:7 LONG:3 rupa:21 raki:7 BEEF:11 postmabone:11 Thomato:15,curt:0 sivad:660 LONG:476 rupa:1355 raki:248 BEEF:2206 postmabone:1744 Thomato:95
1516,BEEF,curt:8 raki:9 Thomato:6 BEEF:3 postmabone:6,curt:681 raki:122 Thomato:1113 BEEF:605 postmabone:675
1517,sivad,rupa:3 curt:5 postmabone:7 sivad:4,rupa:0 curt:283 postmabone:609 sivad:375
1518,raki,sivad:10 rupa:10 postmabone:2 curt:8 BEEF:11 LONG:4,sivad:161 rupa:1906 postmabone:885 curt:478 BEEF:990 LONG:0
1519,rupa,rupa:2 BEEF:4 postmabone:5,rupa:252 BEEF:15 postmabone:683
1520,BEEF,sivad:4 BEEF:1 raki:2 Thomato:9,sivad:63 BEEF:878 raki:0 Thomato:0
1521,LONG,Thomato:2 raki:2,Thomato:195 raki:31
1522,postmabone,curt:3 Thomato:2 raki:2 rupa:9 LONG:3,curt:390 Thomato:792 raki:251 rupa:1290 LONG:415
1523,Thomato,BEEF:1 sivad:1,BEEF:186 sivad:195
1524,sivad,curt:2 LONG:3,curt:54 LONG:90
1525,rupa,rupa:3 Thomato:4 postmabone:4,rupa:491 Thomato:523 postmabone:716
1526,rupa,raki:7 curt:16 sivad:17 Thomato:8 rupa:7 BEEF:9 postmabone:4,raki:601 curt:1063 sivad:0 Thomato:1274 rupa:1134 BEEF:112 postmabone:676
1527,LONG,BEEF:5 sivad:7 rupa:4 curt:6 raki:8,BEEF:1158 sivad:1319 rupa:0 curt:851 raki:448
1528,rupa,sivad:11 rupa:21 curt:21 postmabone:8 Thomato:12 raki:6 LONG:11 BEEF:16,sivad:1810 rupa:899 curt:1300 postmabone:1440 Thomato:934 raki:0 LONG:1548 BEEF:1021
1529,BEEF,rupa:9 LONG:4 postmabone:2 sivad:9 BEEF:13 Thomato:15,rupa:1099 LONG:0 postmabone:108 sivad:1225 BEEF:1215 Thomato:421
1530,BEEF,curt:5 raki:8 Thomato:9 LONG:5 postmabone:10 rupa:10,curt:1047 raki:931 Thomato:1077 LONG:630 postmabone:166 rupa:484
1531,sivad,sivad:4 curt:10 BEEF:9 LONG:6 Thomato:8 postmabone:5,sivad:177 curt:1444 BEEF:808 LONG:582 Thomato:358 postmabone:655
1532,raki,LONG:8 rupa:4 BEEF:9 Thomato:1,LONG:393 rupa:575 BEEF:289 Thomato:327
1533,BEEF,Thomato:1 curt:1,Thomato:173 curt:358
1534,postmabone,raki:5 LONG:9 Thomato:4 curt:6,raki:788 LONG:763 Thomato:338 curt:1045
1535,curt,rupa:2 Thomato:2,rupa:41 Thomato:99
1536,postmabone,postmabone:0 rupa:1,postmabone:346 rupa:0
1537,postmabone,sivad:6 Thomato:8 rupa:4 curt:3,sivad:436 Thomato:337 rupa:567 curt:0
1538,BEEF,sivad:5 BEEF:4 curt:0,sivad:447 BEEF:34 curt:436
1539,postmabone,curt:12 rupa:4 BEEF:5 raki:15 LONG:10 postmabone:7,curt:686 rupa:737 BEEF:301 raki:709 LONG:537 postmabone:484
1540,BEEF,LONG:5 curt:4 Thomato:3,LONG:5 curt:0 Thomato:302
1541,raki,BEEF:5 curt:1 postmabone:2,BEEF:350 curt:344 postmabone:476
1542,raki,BEEF:7 curt:8 rupa:16 sivad:6 LONG:10 Thomato:11 postmabone:18,BEEF:359 curt:161 rupa:0 sivad:2354 LONG:947 Thomato:1112 postmabone:1963
1543,sivad,curt:2 BEEF:6 rupa:3,curt:77 BEEF:0 rupa:163
1544,LONG,rupa:10 LONG:4 Thomato:9 sivad:0 raki:17 postmabone:14 BEEF:12 curt:8,rupa:1140 LONG:882 Thomato:35 sivad:752 raki:415 postmabone:1639 BEEF:1846 curt:1646
1545,sivad,postmabone:5 LONG:2 rupa:4,postmabone:0 LONG:310 rupa:440
1546,Thomato,curt:9 rupa:17 raki:5 postmabone:12 BEEF:9 LONG:18 Thomato:6,curt:1286 rupa:660 raki:1934 postmabone:0 BEEF:77 LONG:959 Thomato:261
1547,postmabone,BEEF:9 LONG:2 postmabone:11 raki:11 sivad:19 curt:6 Thomato:9 rupa:11,BEEF:1461 LONG:1096 postmabone:394 raki:1658 sivad:524 curt:574 Thomato:777 rupa:1204
1548,LONG,BEEF:3 rupa:0,BEEF:164 rupa:347
1549,curt,rupa:5 postmabone:7 LONG:4 raki:8 sivad:2,rupa:1388 postmabone:869 LONG:838 raki:670 sivad:353
1550,LONG,LONG:5 postmabone:7 raki:8 sivad:2,LONG:807 postmabone:292 raki:148 sivad:379
1551,raki,LONG:0 rupa:2,LONG:295 rupa:112
1552,postmabone,LONG:5 Thomato:13 curt:4 BEEF:3 rupa:18 postmabone:7 sivad:11,LONG:974 Thomato:1016 curt:1109 BEEF:741 rupa:1722 postmabone:911 sivad:946
1553,raki,curt:8 BEEF:1 raki:9 rupa:2,curt:520 BEEF:606 raki:208 rupa:413
1554,postmabone,LONG:5 raki:5 Thomato:5 sivad:5,LONG:567 raki:1042 Thomato:1031 sivad:476
1555,raki,rupa:0 curt:8 postmabone:9 sivad:18 LONG:8 raki:6 BEEF:9,rupa:490 curt:412 postmabone:1526 sivad:758 LONG:1183 raki:146 BEEF:1791
1556,BEEF,sivad:7 raki:12 rupa:10 BEEF:4 Thomato:18 curt:9 LONG:6,sivad:1605 raki:0 rupa:527 BEEF:1002 Thomato:1943 curt:454 LONG:946
1557,LONG,curt:15 BEEF:9 postmabone:14 rupa:15 Thomato:5 sivad:20 LONG:16 raki:18,curt:407 BEEF:617 postmabone:908 rupa:1100 Thomato:1494 sivad:166 LONG:1618 raki:672
1558,sivad,LONG:11 rupa:5 Thomato:15 BEEF:6 curt:11 sivad:9 raki:6,LONG:1065 rupa:701 Thomato:621 BEEF:1920 curt:531 sivad:737 raki:1448
1559,curt,rupa:19 BEEF:21 Thomato:15 raki:13 sivad:0 LONG:11 postmabone:9 curt:5,rupa:275 BEEF:925 Thomato:2321 raki:937 sivad:2850 LONG:434 postmabone:694 curt:759
1560,curt,curt:2 BEEF:0,curt:192 BEEF:224
1561,curt,postmabone:15 BEEF:9 raki:9 LONG:5 Thomato:2 sivad:15,postmabone:1198 BEEF:555 raki:1040 LONG:1040 Thomato:828 sivad:1624
1562,LONG,sivad:0 raki:1 postmabone:13 Thomato:6 rupa:3 LONG:0 curt:10,sivad:294 raki:1323 postmabone:986 Thomato:645 rupa:1338 LONG:995 curt:381
1563,raki,LONG:2 postmabone:6 rupa:3 Thomato:15 BEEF:0 curt:1,LONG:0 postmabone:1883 rupa:1129 Thomato:1605 BEEF:1077 curt:288
1564,raki,LONG:3 rupa:3,LONG:248 rupa:58
1565,postmabone,BEEF:7 postmabone:6 rupa:5 Thomato:0,BEEF:564 postmabone:871 rupa:91 Thomato:382
1566,BEEF,sivad:4 Thomato:2 raki:11 rupa:11 curt:10 BEEF:17 LONG:5,sivad:1471 Thomato:1399 raki:0 rupa:223 curt:1701 BEEF:2092 LONG:926
1567,Thomato,LONG:9 sivad:4 postmabone:7 curt:2 rupa:11 raki:14 Thomato:4 BEEF:21,LONG:2179 sivad:1292 postmabone:1901 curt:2190 rupa:639 raki:97 Thomato:2075 BEEF:1183
1568,LONG,raki:11 postmabone:7 LONG:9 curt:9 sivad:5 rupa:13,raki:699 postmabone:1191 LONG:995 curt:0 sivad:486 rupa:822
1569,BEEF,raki:6 rupa:14 sivad:5 Thomato:8 LONG:10 BEEF:6,raki:410 rupa:1565 sivad:0 Thomato:161 LONG:1099 BEEF:1201
1570,raki,BEEF:7 rupa:8 LONG:12 curt:10 raki:2,BEEF:549 rupa:383 LONG:831 curt:1190 raki:1225
1571,Thomato,curt:3 raki:2 sivad:6 Thomato:6,curt:547 raki:885 sivad:824 Thomato:355
1572,LONG,postmabone:16 sivad:14 Thomato:12 curt:4 rupa:20 LONG:9 raki:6 BEEF:17,postmabone:1334 sivad:2372 Thomato:1133 curt:1666 rupa:392 LONG:675 raki:1973 BEEF:895
1573,Thomato,sivad:14 curt:8 LONG:1 Thomato:21 rupa:5 BEEF:8 postmabone:9 raki:21,sivad:1794 curt:1648 LONG:2716 Thomato:907 rupa:1179 BEEF:1445 postmabone:1885 raki:105
1574,BEEF,postmabone:15 BEEF:11 curt:5 sivad:15 LONG:0 Thomato:18 raki:8 rupa:12,postmabone:749 BEEF:2795 curt:950 sivad:416 LONG:1462 Thomato:823 raki:1299 rupa:874
1575,LONG,Thomato:12 sivad:8 raki:15 curt:9 rupa:6 BEEF:19 LONG:17 postmabone:21,Thomato:481 sivad:890 raki:241 curt:1587 rupa:770 BEEF:733 LONG:1847 postmabone:1894
1576,BEEF,sivad:12 BEEF:6 postmabone:13 LONG:0 Thomato:12 curt:10,sivad:845 BEEF:1402 postmabone:1056 LONG:440 Thomato:1215 curt:521
1577,curt,Thomato:1 postmabone:5 BEEF:3 sivad:0,Thomato:235 postmabone:222 BEEF:238 sivad:434
1578,postmabone,postmabone:4 rupa:7 BEEF:7 raki:11 Thomato:7,postmabone:149 rupa:477 BEEF:710 raki:682 Thomato:21
1579,rupa,BEEF:0 LONG:2 postmabone:6,BEEF:465 LONG:424 postmabone:207
1580,curt,LONG:9 curt:2 raki:7 Thomato:15 BEEF:2 sivad:11,LONG:497 curt:565 raki:878 Thomato:340 BEEF:1391 sivad:444
1581,rupa,BEEF:3 postmabone:6 rupa:11 sivad:6 raki:13 Thomato:11,BEEF:319 postmabone:1040 rupa:497 sivad:440 raki:1131 Thomato:834
1582,raki,rupa:3 curt:2 sivad:3,rupa:297 curt:484 sivad:410
1583,LONG,rupa:7 BEEF:4 postmabone:10 curt:8 raki:13 LONG:13,rupa:781 BEEF:1139 postmabone:151 curt:547 raki:1236 LONG:723
1584,raki,Thomato:0 rupa:7 raki:3 LONG:0 curt:7 sivad:4,Thomato:784 rupa:1313 raki:0 LONG:1316 curt:1299 sivad:583
1585,postmabone,sivad:4 Thomato:3 raki:2,sivad:337 Thomato:486 raki:0
1586,LONG,postmabone:0 BEEF:10 sivad:7 raki:3 rupa:1 Thomato:5,postmabone:828 BEEF:1134 sivad:603 raki:601 rupa:0 Thomato:918
1587,curt,sivad:12 BEEF:7 Thomato:0 curt:6 postmabone:6,sivad:526 BEEF:1170 Thomato:504 curt:633 postmabone:431
1588,sivad,rupa:8 BEEF:12 Thomato:11 LONG:2 raki:10,rupa:418 BEEF:886 Thomato:176 LONG:991 raki:459
1589,rupa,Thomato:2 raki:2,Thomato:208 raki:22
1590,LONG,LONG:0 raki:2,LONG:28 raki:257
1591,curt,curt:0 BEEF:10 raki:0 postmabone:8 sivad:3 LONG:13,curt:688 BEEF:42 raki:1000 postmabone:356 sivad:416 LONG:1392
1592,BEEF,postmabone:0 Thomato:2 LONG:3 curt:5 sivad:6,postmabone:144 Thomato:846 LONG:586 curt:1064 sivad:843
1593,sivad,sivad:1 curt:2,sivad:249 curt:107
1594,rupa,LONG:10 Thomato:0 curt:6 rupa:7 BEEF:9,LONG:1012 Thomato:282 curt:416 rupa:0 BEEF:769
1595,raki,raki:9 curt:7 LONG:9 Thomato:9,raki:776 curt:623 LONG:159 Thomato:0
1596,sivad,BEEF:5 LONG:5 postmabone:3,BEEF:365 LONG:709 postmabone:162
1597,Thomato,rupa:4 sivad:1 BEEF:1 postmabone:3 curt:12,rupa:622 sivad:1062 BEEF:264 postmabone:285 curt:602
1598,raki,sivad:10 BEEF:3 curt:9 postmabone:10 Thomato:0 raki:10,sivad:1381 BEEF:1661 curt:606 postmabone:1377 Thomato:1250 raki:2118
1599,raki,curt:4 postmabone:4 sivad:1 BEEF:9 Thomato:6 raki:10,curt:652 postmabone:753 sivad:1040 BEEF:172 Thomato:480 raki:1998
1600,Thomato,sivad:11 raki:6 LONG:10 curt:10 postmabone:7 rupa:10 BEEF:9,sivad:564 raki:665 LONG:1279 curt:1546 postmabone:510 rupa:0 BEEF:195
1601,rupa,sivad:3 curt:2,sivad:178 curt:127
1602,rupa,sivad:0 Thomato:4 LONG:5,sivad:454 Thomato:221 LONG:147
1603,rupa,sivad:7 rupa:16 Thomato:9 postmabone:21 BEEF:17 curt:5 LONG:15 raki:19,sivad:2092 rupa:761 Thomato:1392 postmabone:1969 BEEF:861 curt:1177 LONG:972 raki:2486
1604,rupa,BEEF:0 curt:3 LONG:1,BEEF:902 curt:291 LONG:201
1605,LONG,BEEF:12 Thomato:12 LONG:6 postmabone:3 raki:2,BEEF:744 Thomato:219 LONG:406 postmabone:580 raki:664
1606,Thomato,curt:15 raki:5 Thomato:4 postmabone:0 LONG:13 rupa:12 BEEF:2,curt:1268 raki:318 Thomato:441 postmabone:117 LONG:1092 rupa:1159 BEEF:1267
1607,LONG,Thomato:12 sivad:5 raki:8 rupa:4 LONG:9 BEEF:12 postmabone:18,Thomato:1628 sivad:1690 raki:1196 rupa:1869 LONG:535 BEEF:1567 postmabone:557
1608,LONG,Thomato:3 raki:16 LONG:18 sivad:6 rupa:1 curt:0 BEEF:0,Thomato:1424 raki:1172 LONG:609 sivad:834 rupa:677 curt:527 BEEF:1290
1609,Thomato,rupa:2 curt:9 Thomato:5 LONG:7 postmabone:1,rupa:667 curt:265 Thomato:1171 LONG:870 postmabone:369
1610,rupa,LONG:1 postmabone:1,LONG:174 postmabone:148
1611,postmabone,rupa:10 raki:8 BEEF:11 LONG:5 Thomato:9,rupa:574 raki:398 BEEF:1320 LONG:867 Thomato:569
1612,postmabone,postmabone:6 Thomato:5 curt:6,postmabone:171 Thomato:0 curt:111
1613,LONG,Thomato:2 sivad:0 raki:4 LONG:5,Thomato:143 sivad:590 raki:637 LONG:303
1614,rupa,raki:5 sivad:9 postmabone:7 LONG:2 rupa:12,raki:334 sivad:935 postmabone:713 LONG:100 rupa:78
1615,BEEF,rupa:6 LONG:11 Thomato:2 sivad:12 BEEF:5 postmabone:10,rupa:737 LONG:679 Thomato:658 sivad:1139 BEEF:513 postmabone:387
1616,LONG,curt:12 BEEF:5 LONG:5 postmabone:21 sivad:10 Thomato:10 rupa:0 raki:21,curt:1355 BEEF:495 LONG:1955 postmabone:1508 sivad:876 Thomato:1010 rupa:911 raki:1776
1617,curt,curt:14 rupa:9 raki:5 Thomato:16 BEEF:6 sivad:6 postmabone:14,curt:1180 rupa:608 raki:586 Thomato:948 BEEF:971 sivad:0 postmabone:383
1618,LONG,BEEF:2 LONG:3 rupa:4,BEEF:156 LONG:446 rupa:332
1619,sivad,raki:2 Thomato:7 BEEF:5 postmabone:6 curt:6,raki:18 Thomato:1124 BEEF:562 postmabone:786 curt:681
1620,postmabone,BEEF:6 postmabone:3 curt:4,BEEF:366 postmabone:0 curt:124
1621,postmabone,sivad:21 LONG:17 raki:0 curt:0 postmabone:3 rupa:18 Thomato:0 BEEF:7,sivad:532 LONG:663 raki:715 curt:1572 postmabone:1117 rupa:1171 Thomato:992 BEEF:1995
1622,postmabone,rupa:2 curt:3,rupa:146 curt:0
1623,Thomato,rupa:12 curt:14 BEEF:4 LONG:4 raki:12 postmabone:11 sivad:14 Thomato:17,rupa:1804 curt:465 BEEF:1337 LONG:1850 raki:1589 postmabone:1394 sivad:863 Thomato:997
1624,postmabone,postmabone:9 raki:6 curt:1 Thomato:15 sivad:7 BEEF:1,postmabone:419 raki:1314 curt:1273 Thomato:52 sivad:523 BEEF:1435
1625,sivad,postmabone:1 curt:5 BEEF:4,postmabone:520 curt:337 BEEF:474
1626,BEEF,postmabone:12 raki:10 LONG:2 BEEF:4 curt:8,postmabone:984 raki:1282 LONG:844 BEEF:615 curt:140
1627,rupa,curt:5 rupa:7 sivad:6 Thomato:7 LONG:3,curt:54 rupa:369 sivad:260 Thomato:1253 LONG:249
1628,postmabone,raki:2 LONG:4 curt:7 BEEF:7 sivad:2 Thomato:11,raki:1048 LONG:566 curt:777 BEEF:315 sivad:752 Thomato:1684
1629,curt,raki:3 Thomato:8 LONG:4 sivad:8 BEEF:4,raki:544 Thomato:1000 LONG:515 sivad:124 BEEF:388
1630,postmabone,raki:9 LONG:3 sivad:13 BEEF:21 rupa:3 curt:17 Thomato:11 postmabone:1,raki:1432 LONG:494 sivad:1642 BEEF:861 rupa:508 curt:1443 Thomato:942 postmabone:1116
1631,LONG,raki:1 postmabone:2 BEEF:12 LONG:0 rupa:14 sivad:10,raki:339 postmabone:292 BEEF:1474 LONG:422 rupa:1171 sivad:1150
1632,BEEF,curt:5 LONG:3 BEEF:3 rupa:5,curt:594 LONG:759 BEEF:230 rupa:270
1633,rupa,Thomato:11 rupa:12 BEEF:11 raki:14 LONG:11 postmabone:21 curt:12 sivad:14,Thomato:837 rupa:403 BEEF:2069 raki:1427 LONG:563 postmabone:960 curt:1526 sivad:1423
1634,sivad,curt:6 rupa:15 Thomato:17 LONG:13 BEEF:21 sivad:12 postmabone:5 raki:6,curt:2123 rupa:1596 Thomato:1346 LONG:514 BEEF:1295 sivad:1776 postmabone:949 raki:983
1635,curt,Thomato:3 LONG:1,Thomato:181 LONG:233
1636,LONG,rupa:2 BEEF:0,rupa:96 BEEF:150
1637,BEEF,curt:19 LONG:21 raki:5 sivad:5 Thomato:2 rupa:15 postmabone:10 BEEF:8,curt:1853 LONG:1096 raki:1073 sivad:99 Thomato:1011 rupa:701 postmabone:819 BEEF:1643
1638,rupa,Thomato:6 postmabone:2 raki:3 rupa:2,Thomato:534 postmabone:272 raki:509 rupa:365
1639,postmabone,postmabone:1 LONG:21 curt:19 sivad:12 rupa:13 BEEF:13 Thomato:8 raki:10,postmabone:286 LONG:1362 curt:1709 sivad:1029 rupa:1601 BEEF:1206 Thomato:852 raki:1282
1640,LONG,postmabone:18 rupa:13 sivad:18 Thomato:10 curt:8 raki:14 LONG:2,postmabone:942 rupa:1438 sivad:1002 Thomato:1751 curt:1218 raki:703 LONG:1601
1641,curt,raki:5 Thomato:6 curt:3 LONG:12 rupa:10,raki:951 Thomato:943 curt:552 LONG:96 rupa:555
1642,raki,postmabone:4 Thomato:7 LONG:9 rupa:18 curt:10 sivad:12 raki:0,postmabone:1565 Thomato:996 LONG:1455 rupa:1290 curt:986 sivad:470 raki:1650
1643,sivad,curt:3 sivad:3,curt:316 sivad:42
1644,raki,LONG:6 curt:6 Thomato:3,LONG:450 curt:175 Thomato:564
1645,rupa,BEEF:9 Thomato:2 rupa:9 LONG:2,BEEF:459 Thomato:490 rupa:564 LONG:361
1646,curt,curt:2 sivad:2 rupa:4,curt:274 sivad:187 rupa:573
1647,raki,rupa:10 sivad:6 LONG:12 Thomato:9 postmabone:3 raki:4,rupa:43 sivad:754 LONG:0 Thomato:1019 postmabone:554 raki:1257
1648,raki,sivad:3 curt:1,sivad:164 curt:0
1649,rupa,rupa:0 curt:2 LONG:8 sivad:14 Thomato:0 BEEF:2,rupa:913 curt:884 LONG:844 sivad:720 Thomato:1361 BEEF:1891
1650,sivad,postmabone:1 curt:0,postmabone:247 curt:125
1651,BEEF,BEEF:3 LONG:7 raki:9 postmabone:6,BEEF:168 LONG:399 raki:849 postmabone:636
1652,rupa,Thomato:11 rupa:11 curt:18 raki:7 LONG:16 postmabone:14 sivad:13,Thomato:175 rupa:0 curt:664 raki:900 LONG:1351 postmabone:1244 sivad:671
1653,postmabone,rupa:2 postmabone:1,rupa:89 postmabone:198
1654,curt,Thomato:3 BEEF:9 rupa:7 postmabone:9,Thomato:638 BEEF:193 rupa:170 postmabone:499
1655,Thomato,Thomato:1 LONG:2,Thomato:238 LONG:256
1656,BEEF,curt:1 sivad:0,curt:299 sivad:108
1657,postmabone,rupa:1 raki:1,rupa:132 raki:89
1658,postmabone,BEEF:1 raki:2,BEEF:257 raki:186
1659,postmabone,Thomato:1 rupa:2,Thomato:42 rupa:139
1660,rupa,curt:0 LONG:1,curt:141 LONG:287
1661,sivad,sivad:9 raki:2 BEEF:5 rupa:1,sivad:663 raki:800 BEEF:1175 rupa:189
1662,curt,raki:1 Thomato:0,raki:160 Thomato:0
1663,BEEF,Thomato:4 rupa:1 LONG:2,Thomato:520 rupa:169 LONG:533
1664,postmabone,LONG:4 BEEF:2 curt:4,LONG:409 BEEF:457 curt:330
1665,curt,BEEF:5 Thomato:1 curt:3,BEEF:255 Thomato:717 curt:280
1666,Thomato,Thomato:1 postmabone:0,Thomato:261 postmabone:246
1667,Thomato,BEEF:12 postmabone:2 LONG:2 raki:7 curt:12,BEEF:319 postmabone:877 LONG:673 raki:1183 curt:527
1668,sivad,Thomato:13 curt:0 rupa:2 postmabone:7 BEEF:1 sivad:2,Thomato:1044 curt:416 rupa:739 postmabone:439 BEEF:981 sivad:882
1669,curt,rupa:3 Thomato:3,rupa:4 Thomato:184
1670,BEEF,rupa:1 postmabone:0,rupa:173 postmabone:112
1671,Thomato,LONG:8 raki:6 rupa:9 sivad:2 Thomato:7 curt:10,LONG:1536 raki:410 rupa:1970 sivad:924 Thomato:292 curt:836
1672,LONG,Thomato:4 sivad:11 raki:8 postmabone:4 curt:0 LONG:0,Thomato:501 sivad:724 raki:240 postmabone:1145 curt:66 LONG:322
1673,BEEF,curt:4 Thomato:3 LONG:4,curt:280 Thomato:403 LONG:178
1674,curt,sivad:11 raki:12 curt:9 postmabone:4 rupa:8 Thomato:5,sivad:686 raki:696 curt:66 postmabone:1107 rupa:292 Thomato:458
1675,curt,rupa:6 raki:6 BEEF:8 postmabone:14 Thomato:8 curt:13 sivad:8 LONG:19,rupa:148 raki:759 BEEF:1111 postmabone:124 Thomato:1586 curt:2962 sivad:355 LONG:1725
1676,Thomato,BEEF:4 sivad:3 rupa:6,BEEF:198 sivad:622 rupa:424
1677,raki,sivad:5 LONG:3 BEEF:6 rupa:0,sivad:525 LONG:748 BEEF:625 rupa:556
1678,rupa,postmabone:1 curt:0,postmabone:180 curt:51
1679,Thomato,curt:10 rupa:6 postmabone:2 raki:7 LONG:8,curt:523 rupa:1138 postmabone:478 raki:1052 LONG:351
1680,Thomato,sivad:6 raki:1 curt:3,sivad:242 raki:321 curt:267
1681,BEEF,sivad:5 rupa:12 LONG:7 Thomato:5 raki:7 curt:6,sivad:458 rupa:975 LONG:742 Thomato:1486 raki:788 curt:701
1682,sivad,LONG:6 curt:0 Thomato:3 BEEF:7 raki:6,LONG:469 curt:557 Thomato:625 BEEF:594 raki:838
1683,sivad,LONG:8 raki:14 rupa:13 curt:3 Thomato:4 sivad:2 postmabone:10 BEEF:15,LONG:1897 raki:492 rupa:698 curt:1507 Thomato:464 sivad:1869 postmabone:1851 BEEF:1047
1684,curt,Thomato:2 LONG:2 postmabone:10 BEEF:21 raki:6 sivad:12 curt:4 rupa:8,Thomato:1555 LONG:780 postmabone:2005 BEEF:1085 raki:0 sivad:323 curt:1670 rupa:951
1685,BEEF,postmabone:6 curt:4 rupa:0,postmabone:593 curt:433 rupa:457
1686,Thomato,Thomato:11 curt:2 sivad:7 rupa:6 LONG:14 BEEF:4,Thomato:1010 curt:909 sivad:128 rupa:0 LONG:1595 BEEF:798
